task_name,metric,mean,std,bootstrap_mean,bootstrap_std,bootstrap_CI_lower,bootstrap_CI_upper,statistical_CI_lower,statistical_CI_upper
samples_denoise_colorise_opti,ssim,0.37993284612894057,0.030134487456441848,0.37989018388196827,0.0302012393534158,0.31976048462092876,0.4374019354581833,0.32086925071431455,0.4389964415435666
samples_denoise_colorise_opti,psnr,13.127809238433837,0.3040726666819112,13.128566589260101,0.30736036831879204,12.537413637638092,13.731681432723999,12.531826811737291,13.723791665130383
samples_denoise_colorise_opti,lpips,0.20315257906913758,0.010321476780417163,0.20323934500083327,0.010275986006240542,0.18321124762296676,0.22308869745582344,0.18292248457951996,0.2233826735587552
samples_sr_4x_noisy_gaussian_opti,ssim,0.16973247975111008,0.011920153310698404,0.16996109448149802,0.01182553088743041,0.14659467469900847,0.19256466891616583,0.1463689792621412,0.19309598024007896
samples_sr_4x_noisy_gaussian_opti,psnr,12.848458003997802,0.28636354217099314,12.845943845911025,0.28689149731921404,12.305288190841674,13.432486729621886,12.287185461342656,13.409730546652948
samples_sr_4x_noisy_gaussian_opti,lpips,0.1903025820851326,0.01717614157360676,0.19058081483200195,0.017302051007797862,0.15723934058099984,0.22468329235911366,0.15663734460086334,0.22396781956940184
samples_denoise_colorise,ssim,0.6830189883708954,0.05183353987309655,0.6825807358586788,0.051313317144571685,0.5794955037534236,0.7773577722907066,0.5814252502196261,0.7846127265221646
samples_denoise_colorise,psnr,16.887935638427734,0.9017516928700957,16.893398219318392,0.906823526706211,15.173968572616577,18.734149501323703,15.120502320402347,18.65536895645312
samples_denoise_colorise,lpips,0.12638521008193493,0.024331697382084072,0.12589536605298518,0.02436928596392646,0.07925431035459041,0.17380039104260506,0.07869508321305015,0.17407533695081973
samples_sr_4x_colorise,ssim,0.13407710418105126,0.013704784962993481,0.13403969189122317,0.013751789223584101,0.1085721917450428,0.162426530495286,0.10721572565358403,0.1609384827085185
samples_sr_4x_colorise,psnr,11.495696449279786,0.24711202045009042,11.500773102817536,0.24686608255595502,11.023685429096222,11.989015505313873,11.011356889197609,11.980036009361962
samples_sr_4x_colorise,lpips,0.20119404494762422,0.010906281514909468,0.2012627374687791,0.010861359771360069,0.18118795923888684,0.2240553583204746,0.17981773317840166,0.22257035671684677
samples_sr_4x_noisy_poisson,ssim,0.1898833341896534,0.023661538240341992,0.1897984858034551,0.023570530665566122,0.14407526563853026,0.2364851368777454,0.1435067192385831,0.23625994914072368
samples_sr_4x_noisy_poisson,psnr,13.225128269195556,0.21655554679604,13.221344622821809,0.2168740467777512,12.799084181785583,13.644581880569458,12.800679397475317,13.649577140915795
samples_sr_4x_noisy_poisson,lpips,0.1741769567131996,0.012275208115575227,0.1741648398450017,0.012140770933475209,0.14922181874513626,0.19633544258773325,0.15011754880667216,0.19823636461972705
samples_denoise_deblur,ssim,0.03688119575381279,0.00545623619814338,0.03685649044806138,0.0054434036368028165,0.027236933540552857,0.04808119826950132,0.026186972805451764,0.04757541870217381
samples_denoise_deblur,psnr,6.03657169342041,0.07072817095857858,6.0360000503349305,0.07147648304828376,5.891844762563705,6.172076691389084,5.897944478341596,6.175198908499224
samples_denoise_deblur,lpips,0.347758287191391,0.012862015597587116,0.34783303613811734,0.012962956556155727,0.32431279025971893,0.37459870412945745,0.3225487366201203,0.37296783776266174
samples_sr_4x_noisy_gaussian,ssim,0.18426241129636764,0.017142983598153003,0.18430946043327454,0.017143086496292592,0.15432909350842236,0.2199994438886642,0.15066216344398775,0.21786265914874753
samples_sr_4x_noisy_gaussian,psnr,13.002267551422118,0.15533448172365316,13.00170022986412,0.15392963779473331,12.691418838500976,13.29188511133194,12.697811967243759,13.306723135600478
samples_sr_4x_noisy_gaussian,lpips,0.1818985216319561,0.016125012101871023,0.18188258728593587,0.016088587453022996,0.15040367018431425,0.21346259424462916,0.1502934979122889,0.2135035453516233
samples_sr_4x_deblur,ssim,0.1958061896264553,0.01887341893937606,0.1961315920176357,0.018856736316213263,0.15856231238692997,0.23182738870382308,0.15881428850527823,0.23279809074763236
samples_sr_4x_deblur,psnr,12.404385757446288,0.22413531721343807,12.404648375759125,0.2248778953800006,11.95610482931137,12.8235999584198,11.96508053570795,12.843690979184627
samples_sr_4x_deblur,lpips,0.15721869617700576,0.013915972776195513,0.15724688361108302,0.013896578978139016,0.13000222478061915,0.18452199041843412,0.12994338953566256,0.18449400281834896
samples_sr_4x_noisy_poisson_opti,ssim,0.1385434202849865,0.012265149126653526,0.13855864600166676,0.012329693589194767,0.11551172567531466,0.16310519423335787,0.1145037279967456,0.1625831125732274
samples_sr_4x_noisy_poisson_opti,psnr,12.425326919555664,0.30530928246175815,12.426504054498672,0.3024020663066595,11.813188123703004,12.998977599143982,11.826920725930618,13.02373311318071
samples_sr_4x_noisy_poisson_opti,lpips,0.20491098761558532,0.022315537257831905,0.2051059600009024,0.022388915408476935,0.1619267790019512,0.24886487785726785,0.16117253459023478,0.24864944064093586
samples_denoise_deblur_opti,ssim,0.0342309208586812,0.004771763109132341,0.03420762898154557,0.004795747767979024,0.025404343805275856,0.04397754257544875,0.02487826516478181,0.04358357655258059
samples_denoise_deblur_opti,psnr,6.132724046707153,0.07774753543046478,6.132282036375999,0.0779181049350162,5.972648918628693,6.273050515651703,5.980338877263442,6.285109216150865
samples_denoise_deblur_opti,lpips,0.3487365394830704,0.013523562511069086,0.34874503782480953,0.013494473368798146,0.3226839320361614,0.3753477140516043,0.322230356961375,0.37524272200476577
samples_deblur_colorise,ssim,0.4167351484298706,0.046935214955835795,0.4177707018280029,0.04678885222843358,0.3348959782719612,0.5167379141598939,0.3247421271164324,0.5087281697433087
samples_deblur_colorise,psnr,13.5160382270813,0.6482375636312763,13.528571364307403,0.6567903848486148,12.348091497421263,14.88607084274292,12.245492602363997,14.786583851798602
samples_deblur_colorise,lpips,0.2000652365386486,0.022911837394920205,0.20051613795191048,0.02336011106283683,0.1547546584904194,0.24590933226048947,0.155158035244605,0.2449724378326922
